"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"1077",-0.412658944826072,-0.529122312858444,-0.576538416540475,"weibull",2,100
"1078",-0.275775303432383,-0.38036277455953,-0.39054916876216,"weibull",2,100
"1079",-0.673909156976444,-0.857814166768484,-0.829877608658897,"weibull",2,100
"1080",-0.520936058375408,-0.712955264414622,-0.687188039977043,"weibull",2,100
"1081",-0.287205772463196,-0.494176495772688,-0.49011831096559,"weibull",2,100
"1082",-0.395828671645498,-0.557674493786132,-0.497914957213217,"weibull",2,100
"1083",-0.671988164155711,-0.961544033836662,-0.995900574591281,"weibull",2,100
"1084",-0.320134486378366,-0.5455091426508,-0.565240628795057,"weibull",2,100
"1085",-0.390904827117928,-0.498519161688854,-0.516194103229433,"weibull",2,100
"1086",-0.827227862831525,-1.1637136503237,-1.1556693561745,"weibull",2,100
"1087",-0.417048338822331,-0.584584291274167,-0.585917658942703,"weibull",2,100
"1088",-0.666395458022104,-0.941632591319888,-0.918450011754283,"weibull",2,100
"1089",-0.0929486231872036,-0.10702747278662,-0.0909555536660529,"weibull",2,100
"1090",-0.417039499445548,-0.547667074401016,-0.541929191419428,"weibull",2,100
"1091",-0.623030839109713,-0.8664049786951,-0.874530890365144,"weibull",2,100
"1092",-0.359747129228846,-0.510779757091902,-0.506402161903416,"weibull",2,100
"1093",-0.303660944337868,-0.435235749038753,-0.423602052218941,"weibull",2,100
"1094",-0.203423415275773,-0.252603536819929,-0.250104581715689,"weibull",2,100
"1095",-0.383371770543299,-0.617490703155876,-0.559943790132143,"weibull",2,100
"1096",-0.164165898632753,-0.246493000430678,-0.231515683342928,"weibull",2,100
"1097",-0.482975299453185,-0.744251028184372,-0.714275436206189,"weibull",2,100
"1098",-0.549997592642851,-0.766530834087928,-0.726120887268626,"weibull",2,100
"1099",-0.417409825745807,-0.594621126788891,-0.580461760053098,"weibull",2,100
"1100",-0.283638687867798,-0.433946792541027,-0.444104888432951,"weibull",2,100
"1101",-0.00967562605127324,-0.00795411258248913,-0.0114191077711246,"weibull",2,100
"1102",-0.329864306183644,-0.504062994303408,-0.512346488730113,"weibull",2,100
"1103",-0.242083061492032,-0.332253596137171,-0.337489431684329,"weibull",2,100
"1104",-0.518633419211345,-0.70228945521271,-0.664697418324551,"weibull",2,100
"1105",-0.408113941191963,-0.551570546528769,-0.534059336281222,"weibull",2,100
"1106",-0.183866570175011,-0.238413447139862,-0.242243994884756,"weibull",2,100
"1107",-0.377365214689949,-0.547671565360128,-0.538681736036285,"weibull",2,100
"1108",-0.543675194627317,-0.75359094623943,-0.750059318747703,"weibull",2,100
"1109",-0.370732145626665,-0.51267844314797,-0.509355337851746,"weibull",2,100
"1110",-0.459130683395801,-0.582757864270365,-0.592936470331356,"weibull",2,100
"1111",-0.270728524310843,-0.40259473524863,-0.381062691488304,"weibull",2,100
"1112",-0.0933227036936238,-0.175951312931945,-0.179101080033139,"weibull",2,100
"1113",-0.454174473357538,-0.68325130501309,-0.709870653699111,"weibull",2,100
"1114",-0.223710080508033,-0.310728768137219,-0.311010788980031,"weibull",2,100
